nombre;estilo;og;abv;ibu;color_srm;litros;publicada;autor;url
APA PabloB- L50;01A - American Light Lager (BJCP 2015);1.033;3.37;26.8;4.504880744996752;250;2024-10-03;Pablo Medina;https://www.brew-o-matic.com.ar/#/recipe/clone/APAPabloBL50-5249cb644b1137475300016a-1628437865769
American Light Lager;01A - American Light Lager (BJCP 2015);1.038;3.73;10.1;3.112616588240526;80;2021-07-13;Sebastian Nuñez Szymanski;https://www.brew-o-matic.com.ar/#/recipe/clone/AmericanLightLager-553e99647111039c4500006a-1626188259833
Apurimeña Pilsner Lager;01A - American Light Lager (BJCP 2015);1.047;5.11;9.7;5.36191861469777;1600;2025-02-24;Apurimeña Fabrica;https://www.brew-o-matic.com.ar/#/recipe/clone/ApurimeaPilsnerLager-6798ed5158b7e3842edb41bd-1738076329846
BS_Light Lager;01A - American Light Lager (BJCP 2015);1.04;4.19;14.6;2.927060682617961;20;2016-11-06;Birra Store;https://www.brew-o-matic.com.ar/#/recipe/clone/BSPilsen-57af058a4ad8541d000ad1d1-1478403814493
Brau low alcohol 7 Colinas;01A - American Light Lager (BJCP 2015);1.026;2.55;;2.1204392279369753;50;2020-06-02;Ivan Ezequiel Cerda;https://www.brew-o-matic.com.ar/#/recipe/clone/Braulowalcohol7Colinas-52e80400df26334d2c000563-1581385245142
Enero 24;01A - American Light Lager (BJCP 2015);1.044;4.5;17.5;4.190812550730187;100;2024-01-30;Pablo Medina;https://www.brew-o-matic.com.ar/#/recipe/clone/Enero24-5249cb644b1137475300016a-1706574301035
Karakuchi RUU960 (Lorena);01A - American Light Lager (BJCP 2015);1.054;5.31;18;3.865562688814974;50;2026-06-03;Gustavo Carrizo;https://www.brew-o-matic.com.ar/#/recipe/clone/KarakuchiRUU960-5e6e064488a7830004bfa9c2-1780496661624
Kveik Pseudo Lager;01A - American Light Lager (BJCP 2015);1.051;5.01;17.4;6.285033862499341;40;2024-10-17;Mothusi Tshekiso;https://www.brew-o-matic.com.ar/#/recipe/clone/KveikPseudoLager-67111b87043d49afc1bcb814-1729174909447
Lager light;01A - American Light Lager (BJCP 2015);1.041;4.03;19.1;7.296654840404391;20;2020-05-12;Doble De Nos;https://www.brew-o-matic.com.ar/#/recipe/clone/Lagerlight-57435b989883221d000f0cb5-1496699374249
Lager light tipo mejicana;01A - American Light Lager (BJCP 2015);1.04;4.35;17.4;4.171435262451962;22;2018-07-22;Pablo Brigandi;https://www.brew-o-matic.com.ar/#/recipe/clone/PilsenMexicana-557ad907fe00a7ce4f000186-1511840180064
Lote 2;01A - American Light Lager (BJCP 2015);1.04;3.93;7.1;6.594755076886574;120;2023-08-12;Pablo Medina;https://www.brew-o-matic.com.ar/#/recipe/clone/Lote2-5249cb644b1137475300016a-1691844079672
Mosaic apa;01A - American Light Lager (BJCP 2015);1.047;4.8;28.5;5.997766747328281;280;2019-09-02;Pablo Medina;https://www.brew-o-matic.com.ar/#/recipe/clone/Mosaicapa-5249cb644b1137475300016a-1567390742171
